y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
0.8116,-6.860120914,47.06125895,-322.8459268,2214.762094,-15193.53576,104229.4924,-715026.921,4905171.135,-33650067.09,230843529
0.9072,-4.324130045,18.69810065,-80.85301879,349.6189678,-1511.797883,6537.210647,-28267.74897,122233.4226,-528553.2153,2285532.839
0.9052,-4.358625055,18.99761237,-82.80346926,360.9092758,-1573.068212,6856.414522,-29884.54012,130255.5053,-567734.9091,2474543.599
0.9039,-4.358426747,18.99588371,-82.79216764,360.8435979,-1572.710389,6854.543023,-29875.02365,130208.1021,-567502.475,2473417.966
0.8053,-6.955852379,48.38388232,-336.5511429,2341.000068,-16283.65089,113266.6718,-787866.2486,5480281.319,-38120027.85,265157286.4
0.8377,-6.661145254,44.37085609,-295.5607175,1968.772871,-13114.28206,87356.13772,-581891.9222,3876066.616,-25819042.74,171984394
0.8667,-6.355462942,40.39190921,-256.7092821,1631.506329,-10368.97802,65899.65553,-418822.8186,2661812.903,-16917053.26,107515705.1
0.8809,-6.118102026,37.4311724,-229.0077317,1401.092667,-8572.027886,52444.54118,-320861.0536,1963060.662,-12010205.42,73479662.08
0.7975,-7.115148017,50.6253313,-360.2067256,2562.92417,-18235.58482,129748.8852,-923182.5232,6568580.299,-46736421.09,332536553.8
0.8162,-6.815308569,46.44843089,-316.5603891,2157.456732,-14703.73335,100210.4799,-682965.3425,4654619.551,-31722668.51,216199774.6
0.8515,-6.519993057,42.51030946,-277.1669226,1807.126411,-11782.45165,76821.50296,-500875.6659,3265705.864,-21292379.56,138826166.9
0.8766,-6.204119983,38.49110476,-238.8034322,1481.565146,-9191.807928,57027.07925,-353802.8419,2195035.282,-13618262.25,84489332.98
0.8885,-5.853871964,34.26781697,-200.599413,1174.28328,-6874.10397,40240.12451,-235560.5367,1378941.222,-8072145.357,47253305.39
0.8859,-6.109523091,37.3262724,-228.0457231,1393.250611,-8512.096781,52004.85184,-317724.8431,1941147.266,-11859484.04,72455791.61
0.8959,-5.79832982,33.6206287,-194.943494,1130.346674,-6554.122828,38002.96584,-220353.7301,1277683.604,-7408430.942,42956526.05
0.8913,-5.482672118,30.05969355,-164.8074437,903.5851765,-4954.061254,27161.49351,-148917.5631,816466.1712,-4476416.312,24542722.9
0.8959,-5.171791386,26.74742614,-138.3321081,715.4248051,-3700.027845,19135.77213,-98966.22149,511832.6518,-2647091.7,13690206.05
0.8971,-4.851705903,23.53905017,-114.2045487,554.0868829,-2688.2666,13042.67893,-63279.24237,307012.2738,-1489533.261,7226777.315
0.9021,-4.517126416,20.40443106,-92.16939454,416.3408068,-1880.664056,8495.197289,-38373.88008,173339.6674,-782997.1906,3536897.293
0.909,-4.143573228,17.1691991,-71.14183372,294.7813976,-1221.448307,5061.160505,-20971.28917,86896.07237,-360060.2391,1491935.967
0.9139,-3.709075441,13.75724063,-51.02664335,189.2616697,-701.9858109,2603.718331,-9657.387717,35819.97961,-132859.0067,492784.0787
0.9199,-3.499489089,12.24642388,-42.85622676,149.9748979,-524.835519,1836.656172,-6427.358235,22492.47001,-78712.1534,275452.322
0.8692,-6.300769497,39.69969625,-250.1386352,1576.065883,-9930.427839,62569.33682,-394234.9689,2483983.667,-15651008.52,98613397.06
0.8872,-5.953504836,35.44421983,-211.0173342,1256.29272,-7479.344781,44528.31532,-265099.5406,1578271.397,-9396246.395,55940598.35
0.89,-5.642065153,31.83289919,-179.6032912,1013.333471,-5717.293464,32257.34223,-181998.0265,1026844.723,-5793524.83,32687444.56
0.891,-5.031376979,25.3147543,-127.368072,640.8367855,-3224.29145,16222.62577,-81622.14586,410671.7857,-2066244.568,10396055.35
