y,x
0.11019,150000
0.21956,300000
0.32949,450000
0.43899,600000
0.54803,750000
0.65694,900000
0.76562,1050000
0.87487,1200000
0.98292,1350000
1.09146,1500000
1.20001,1650000
1.30822,1800000
1.41599,1950000
1.52399,2100000
1.63194,2250000
1.73947,2400000
1.84646,2550000
1.95392,2700000
2.06128,2850000
2.16844,3000000
0.11052,150000
0.22018,300000
0.32939,450000
0.43886,600000
0.54798,750000
0.65739,900000
0.76596,1050000
0.87474,1200000
0.983,1350000
1.0915,1500000
1.20004,1650000
1.30818,1800000
1.41613,1950000
1.52408,2100000
1.63159,2250000
1.73965,2400000
1.84696,2550000
1.95445,2700000
2.06177,2850000
2.16829,3000000
